Row,Quantity Per PCB,References,Value,Datasheet,Footprint,Description,Manufacturer,Manufacturer Part Number,Supplier Part Number
1,6,C1 C4 C5 C6 C9 C10,0.1uF,~,,Unpolarized capacitor,,,
2,3,C7 C8 L1,1u,~,,Unpolarized capacitor,,,
3,2,C2 C3,10uF,~,,Unpolarized capacitor,,,
4,1,C11,22u,GRM187R61A226ME15D,CAP_226ME15D_MUR,,,,
5,1,C12,47u,GRM219R60J476ME44D,CAP_GRM216R_2X1P25_MUR,,,,
6,1,FB1,FerriteBead,~,,Ferrite bead,,,
7,2,J1 J2,Conn_01x02,~,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/) Generic connector, single row, 01x05, script generated (kicad-library-utils/schlib/autogen/connector/)",,,
8,2,R1 R2,4k7,~,,Resistor,,,
9,1,U2,ADXL345BCCZ,https://www.analog.com/media/en/technical-documentation/data-sheets/ADXL345-EP.pdf,LGA_CC-14-1_ADI,,,,
10,1,U1,STM32U031C6Ux,https://www.st.com/resource/en/datasheet/stm32u031c6.pdf,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,"STMicroelectronics Arm Cortex-M0+ MCU, 32KB flash, 12KB RAM, 39 GPIO, UFQFPN48",,,
11,1,U3,TPS631012YBGR,https://www.ti.com/lit/gpn/tps631012,DSBGA8-YBG_TEX,,,,
